Seconds_Offset,Lon,Lat,Void,Bio,Tech,Entropy,GSR
1608.0,12.362146,45.426733,0.16,0.01,0.19,0.64,469.0
1616.0,12.362243,45.426722,0.42,0.02,0.02,0.54,470.0
1624.0,12.362427,45.426732,0.06,0.06,0.07,0.81,465.0
1632.0,12.362543,45.426699,0.07,0.01,0.09,0.83,465.0
1640.0,12.362675,45.426703,0.07,0.03,0.47,0.43,465.0
1648.0,12.362807,45.426735,0.44,0.27,0.06,0.24,461.0
1656.0,12.362928,45.426738,0.19,0.15,0.12,0.53,471.0
1664.0,12.363006,45.426741,0.03,0.47,0.07,0.42,466.0
1672.0,12.363117,45.426764,0.02,0.61,0.07,0.31,467.0
1680.0,12.363217,45.426752,0.01,0.02,0.0,0.97,470.0
1688.0,12.363217,45.426752,0.01,0.02,0.0,0.97,470.0
1696.0,12.363377,45.426727,0.12,0.2,0.02,0.66,470.0
1704.0,12.36352,45.426717,0.57,0.01,0.0,0.42,471.0
1712.0,12.363656,45.426717,0.77,0.08,0.0,0.15,472.0
1720.0,12.363728,45.426727,0.0,0.0,0.0,1.0,475.0
1728.0,12.36378,45.426727,0.04,0.27,0.02,0.67,476.0
1736.0,12.363862,45.426735,0.22,0.12,0.0,0.66,474.0
1744.0,12.36397,45.426754,0.02,0.06,0.0,0.92,471.0
1752.0,12.364119,45.426782,0.05,0.03,0.0,0.92,468.0
1760.0,12.364119,45.426782,0.05,0.03,0.0,0.92,468.0
1768.0,12.364242,45.426784,0.03,0.12,0.0,0.85,468.0
1776.0,12.364413,45.426825,0.0,0.0,0.0,1.0,471.0
1784.0,12.364577,45.426883,0.04,0.0,0.0,0.96,470.0
1792.0,12.364723,45.426923,0.38,0.01,0.01,0.6,471.0
1800.0,12.364883,45.426952,0.25,0.01,0.54,0.2,471.0
1808.0,12.364981,45.426974,0.04,0.01,0.51,0.44,471.0
1816.0,12.365003,45.426983,0.15,0.01,0.04,0.79,472.0
1824.0,12.365015,45.426987,0.69,0.02,0.05,0.24,471.0
1832.0,12.365018,45.426998,0.33,0.03,0.44,0.19,469.0
1840.0,12.365018,45.426998,0.33,0.03,0.44,0.19,469.0
1848.0,12.365135,45.426963,0.97,0.0,0.0,0.03,463.0
